artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,74,0.335,0.625,7,-7.462000000000001,1,0.0386,0.0,0.0708,0.34600000000000003,150.27700000000002,241107,4,1
Khalid,Better,6zeeWid2sgw4lap2jV61PZ,77,0.596,0.552,0,-10.277999999999999,0,0.09699999999999999,0.33399999999999996,0.10400000000000001,0.11199999999999999,97.949,229320,4,1
Ava Max,Sweet but Psycho,3tNE4i6TBqMdyTZxHDAn9B,80,0.72,0.706,1,-4.718999999999999,1,0.0473,0.0,0.166,0.62,133.002,187436,4,1
Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,78,0.884,0.5589999999999999,0,-7.442,1,0.12,0.0,0.10099999999999999,0.342,97.994,232959,4,1
Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,80,0.602,0.6579999999999999,1,-5.934,1,0.0558,5.9999999999999995e-05,0.237,0.268,145.031,197547,4,1
6ix9ine,FEFE,2l8nEO0vsTRCRnGqQty6qx,77,0.9309999999999999,0.387,1,-9.127,1,0.41200000000000003,0.0,0.136,0.376,125.978,179405,4,1
Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,79,0.835,0.626,1,-5.832999999999999,1,0.125,5.9999999999999995e-05,0.396,0.35,91.03,217925,4,1
Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,79,0.963,0.34600000000000003,5,-9.309,0,0.53,0.0,0.10800000000000001,0.562,119.95700000000001,142273,4,1
Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,79,0.912,0.41200000000000003,7,-8.074,1,0.12300000000000001,0.0126,0.10400000000000001,0.423,154.983,238614,4,1
Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,73,0.893,0.6509999999999999,0,-8.647,0,0.36700000000000005,0.0,0.371,0.6,105.835,253580,4,1
Zedd,The Middle,09IStsImFySgyp0pIQdqAc,82,0.753,0.657,7,-3.0610000000000004,1,0.0449,0.0,0.11199999999999999,0.43700000000000006,107.01,184732,4,1
Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,81,0.6990000000000001,0.713,9,-5.507000000000001,0,0.0594,3.11e-06,0.294,0.354,121.993,205920,4,1
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,78,0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.0,0.083,0.579,154.084,163870,4,1
Lil Wayne,Don't Cry (feat. XXXTENTACION),5BQrp63SHCVf4bzCzJePne,63,0.618,0.71,8,-6.066,1,0.331,0.0,0.183,0.233,112.014,249450,4,1
Lil Wayne,Let It Fly (feat. Travis Scott),0CBQ0m3mufWH75LTYB3s6h,61,0.902,0.8190000000000001,1,-3.321,1,0.316,0.0,0.106,0.745,89.0,186872,4,1
Lil Wayne,Let It Fly (feat. Travis Scott),0CBQ0m3mufWH75LTYB3s6h,61,0.902,0.8190000000000001,1,-3.321,1,0.316,0.0,0.106,0.745,89.0,186872,4,1
